wallet_id,aggregated_lp_score,num_deposits,num_withdrawals,avg_holding_days,min_holding_days,max_holding_days,liquidity_percent_remaining,retained_liquidity,lp_volatility_stddev,dust_deposit_count,dust_deposit_volume,total_deposit_all_time,total_withdraw_all_time
0x05c2ca1fa84a1c18aed484870516ef7d2033b005,187.45,8.0,4.0,1.545040509,0.116458333,2.973622685,0.0,-132.508498,39.58992214,2.0,132.465412,424.34193,556.850428
0x05473cdac7812529df91f5d46f01b9465a3bb612,363.4,2.0,1.0,12.87140046,12.87140046,12.87140046,0.0,-0.361261,0.0,0.0,0.0,213.839538,214.200799
0x06348f2de89203f2275fab842faf212331629ae5,102.35,10.0,2.0,0.0,0.0,0.0,0.0,-3.301585,0.0,5.0,3.337162,0.0,3.301585
0x07180eabee865ffd9d231305c270656864b6cd10,86.25,6.0,1.0,0.0,0.0,0.0,0.0,-1.232006,0.0,3.0,1.361262,0.0,1.232006
0x070ae2385dedc927f821e75434e881ca5fd549fb,584.2,54.0,27.0,73.36613673,0.000856481,980.9229327,0.000422406,5318.898232,79717.24423,0.0,0.0,12591914.16,12586595.26
0x0712e3575e1e10e490d9c145d88311a6b08bf838,461.15,6.0,4.0,46.80761574,5.734340278,119.764213,0.0,-108.265634,74.61985637,0.0,0.0,327.735873,436.001507
0x0616660387b016a07cbcccba3e1474c7e37f1f5c,115.0,9.0,5.0,0.0,0.0,0.0,0.0,-286.54138063,0.0,7.0,87.38316193,0.0,286.54138063
0x070330e027a3e4327ba69f0c8a1885df4b545837,62.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.41214,0.0,0.0
0x06a612d453e0c3d87a3ae58c67ff61a23329a249,365.7,16.0,4.0,101.8567032,0.75125,169.4486257,0.0,-21320.65318,8683.274222,3.0,184.6379567,13602.81191,34923.46509
0x05eaf3564c72506ac18981890f1b1e9873a43a4e,48.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.144998,0.0,0.0
0x06abb38f4b93608cad91d2e96643f2c396900963,92.0,7.0,2.0,0.0,0.0,0.0,0.0,-3.163134,0.0,4.0,3.16474,0.0,3.163134
0x065de23b4bf1bd85bed6a01ac61c3dc0ed62aafb,74.75,6.0,2.0,0.0,0.0,0.0,0.0,-23.821578,0.0,3.0,23.778359,0.0,23.821578
0x06fffebd5ebd97329da366b80f11e7a4b858ee47,67.85,5.0,2.0,0.0,0.0,0.0,0.0,-5.898645,0.0,3.0,4.497046,0.0,5.898645
0x06b3111dbe917f33508a987945509f8c430a86a4,64.4,6.0,1.0,0.0,0.0,0.0,0.0,-1.262704,0.0,3.0,1.266677,0.0,1.262704
0x05d9615f6621af83f8bff08a5b72bfbc370ee156,62.1,6.0,2.0,0.0,0.0,0.0,0.0,-4.611996,0.0,3.0,4.611407,0.0,4.611996
0x0828deded87a033091a83a4a67203ab08371656b,354.2,2.0,1.0,6.275787037,6.275787037,6.275787037,0.0,-363.068024,0.0,0.0,0.0,3813.544037,4176.612061
0x06789f6b751b076ac404bc82c2bd0336fd1a123a,49.45,6.0,1.0,0.0,0.0,0.0,0.0,-1.161727,0.0,3.0,3.164068426,0.0,1.161727
0x07d71154125bf5bc63fe3480a0eec03da1526853,115.0,2.0,2.0,0.0,0.0,0.0,0.0,-14.213851306,0.0,1.0,7.834887271,0.0,14.213851306
0x06c4865ab16c9c760622f19a313a2e637e2e66a2,69.0,5.0,1.0,0.0,0.0,0.0,0.0,-2.380517,0.0,3.0,3.507347,0.0,2.380517
0x0788b0bb180b8308b0485d7c7876bfdaf0cfbb24,48.3,8.0,1.0,0.0,0.0,0.0,0.0,-1.165082,0.0,4.0,1.2185628800000001,0.0,1.165082
