wallet_id,reason,metric,value
0x13bdb62c16273c173349063d6fa78f78b450760e,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,828877.6898
0x13bdb62c16273c173349063d6fa78f78b450760e,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,51250.75789
0x13bdb62c16273c173349063d6fa78f78b450760e,Unexpected behaviour due to avg_holding_days,avg_holding_days,739.5024447
0x13bdb62c16273c173349063d6fa78f78b450760e,Unexpected behaviour due to num_deposits,num_deposits,68.0
0x14eb5e1ce83a0d5f180695e612524e1d1391e4cd,Unexpected behaviour due to min_holding_days,min_holding_days,0.007037037
0x14eb5e1ce83a0d5f180695e612524e1d1391e4cd,Unexpected behaviour due to max_holding_days,max_holding_days,113.2080903
0x14eb5e1ce83a0d5f180695e612524e1d1391e4cd,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,129905.6839
0x14eb5e1ce83a0d5f180695e612524e1d1391e4cd,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,2663882.521
0x14eb5e1ce83a0d5f180695e612524e1d1391e4cd,Unexpected behaviour due to avg_holding_days,avg_holding_days,9.53480057
0x14eb5e1ce83a0d5f180695e612524e1d1391e4cd,Unexpected behaviour due to num_deposits,num_deposits,48.0
0x1425caf020c5634a1f80900334acbc16d8142dd5,Unexpected behaviour due to min_holding_days,min_holding_days,5.141030093
0x1425caf020c5634a1f80900334acbc16d8142dd5,Unexpected behaviour due to max_holding_days,max_holding_days,1056.64378
0x1425caf020c5634a1f80900334acbc16d8142dd5,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,1012506.107
0x1425caf020c5634a1f80900334acbc16d8142dd5,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,165283.4774
0x1425caf020c5634a1f80900334acbc16d8142dd5,Unexpected behaviour due to avg_holding_days,avg_holding_days,281.0861215
0x1425caf020c5634a1f80900334acbc16d8142dd5,Unexpected behaviour due to num_deposits,num_deposits,8.0
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,Unexpected behaviour due to min_holding_days,min_holding_days,1.469027778
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,Unexpected behaviour due to max_holding_days,max_holding_days,1164.993009
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,191182.4035
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,44095.46858
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,Unexpected behaviour due to avg_holding_days,avg_holding_days,589.578825
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,Unexpected behaviour due to num_deposits,num_deposits,8.0
0x1678c5bfe206c7a8408a7cefd44828ff02397797,Unexpected behaviour due to min_holding_days,min_holding_days,18.26868056
0x1678c5bfe206c7a8408a7cefd44828ff02397797,Unexpected behaviour due to max_holding_days,max_holding_days,1054.002713
0x1678c5bfe206c7a8408a7cefd44828ff02397797,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,109886.9248
0x1678c5bfe206c7a8408a7cefd44828ff02397797,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,104621.2045
0x1678c5bfe206c7a8408a7cefd44828ff02397797,Unexpected behaviour due to avg_holding_days,avg_holding_days,401.772787
0x1678c5bfe206c7a8408a7cefd44828ff02397797,Unexpected behaviour due to num_deposits,num_deposits,6.0
0x16c196d653ee575d7458bdbc368a0fbe85ccc2e0,Unexpected behaviour due to min_holding_days,min_holding_days,0.000185185
0x16c196d653ee575d7458bdbc368a0fbe85ccc2e0,Unexpected behaviour due to max_holding_days,max_holding_days,1135.880853
0x16c196d653ee575d7458bdbc368a0fbe85ccc2e0,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,7942824.357
0x16c196d653ee575d7458bdbc368a0fbe85ccc2e0,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,236340.7496
0x16c196d653ee575d7458bdbc368a0fbe85ccc2e0,Unexpected behaviour due to avg_holding_days,avg_holding_days,714.568069
0x16c196d653ee575d7458bdbc368a0fbe85ccc2e0,Unexpected behaviour due to num_deposits,num_deposits,1288.0
0x1b215eb6c084a295982c4c7a21716259e5bab5f3,Unexpected behaviour due to min_holding_days,min_holding_days,0.000347222
0x1b215eb6c084a295982c4c7a21716259e5bab5f3,Unexpected behaviour due to max_holding_days,max_holding_days,201.010086
0x1b215eb6c084a295982c4c7a21716259e5bab5f3,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,426996.861
0x1b215eb6c084a295982c4c7a21716259e5bab5f3,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,57260.12547
0x1b215eb6c084a295982c4c7a21716259e5bab5f3,Unexpected behaviour due to avg_holding_days,avg_holding_days,104.991746
0x1b215eb6c084a295982c4c7a21716259e5bab5f3,Unexpected behaviour due to num_deposits,num_deposits,524.0
0x1d565c9104d576b5b5882e472a2a9042bcb68a02,Unexpected behaviour due to min_holding_days,min_holding_days,1164.540278
0x1d565c9104d576b5b5882e472a2a9042bcb68a02,Unexpected behaviour due to max_holding_days,max_holding_days,1164.553218
0x1d565c9104d576b5b5882e472a2a9042bcb68a02,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,11123.24924
0x1d565c9104d576b5b5882e472a2a9042bcb68a02,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x1d565c9104d576b5b5882e472a2a9042bcb68a02,Unexpected behaviour due to avg_holding_days,avg_holding_days,1164.546748
0x1d565c9104d576b5b5882e472a2a9042bcb68a02,Unexpected behaviour due to num_deposits,num_deposits,4.0
0x2375363d937a730f75d41537a9e8a97b093aa7e5,Unexpected behaviour due to min_holding_days,min_holding_days,1139.251499
0x2375363d937a730f75d41537a9e8a97b093aa7e5,Unexpected behaviour due to max_holding_days,max_holding_days,1139.251499
0x2375363d937a730f75d41537a9e8a97b093aa7e5,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,237.295239
0x2375363d937a730f75d41537a9e8a97b093aa7e5,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x2375363d937a730f75d41537a9e8a97b093aa7e5,Unexpected behaviour due to avg_holding_days,avg_holding_days,1139.251499
0x2375363d937a730f75d41537a9e8a97b093aa7e5,Unexpected behaviour due to num_deposits,num_deposits,2.0
0x27f2b63578ee363ffe75c043fde5ca1a36f66923,Unexpected behaviour due to min_holding_days,min_holding_days,0.04537037
0x27f2b63578ee363ffe75c043fde5ca1a36f66923,Unexpected behaviour due to max_holding_days,max_holding_days,1157.20531
0x27f2b63578ee363ffe75c043fde5ca1a36f66923,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,271118.0173
0x27f2b63578ee363ffe75c043fde5ca1a36f66923,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,5427.580151
0x27f2b63578ee363ffe75c043fde5ca1a36f66923,Unexpected behaviour due to avg_holding_days,avg_holding_days,672.8125862
0x27f2b63578ee363ffe75c043fde5ca1a36f66923,Unexpected behaviour due to num_deposits,num_deposits,248.0
0x2a373e63aa5e2aee150b9b311443674e3250ab3b,Unexpected behaviour due to min_holding_days,min_holding_days,0.002037037
0x2a373e63aa5e2aee150b9b311443674e3250ab3b,Unexpected behaviour due to max_holding_days,max_holding_days,1066.68824
0x2a373e63aa5e2aee150b9b311443674e3250ab3b,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,3720632.016
0x2a373e63aa5e2aee150b9b311443674e3250ab3b,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,4475748.482
0x2a373e63aa5e2aee150b9b311443674e3250ab3b,Unexpected behaviour due to avg_holding_days,avg_holding_days,589.742066
0x2a373e63aa5e2aee150b9b311443674e3250ab3b,Unexpected behaviour due to num_deposits,num_deposits,588.0
0x2a7ff3d4be3124988fc2fcd72ce3ce143f72b610,Unexpected behaviour due to min_holding_days,min_holding_days,0.015393519
0x2a7ff3d4be3124988fc2fcd72ce3ce143f72b610,Unexpected behaviour due to max_holding_days,max_holding_days,309.1427454
0x2a7ff3d4be3124988fc2fcd72ce3ce143f72b610,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,942371.1793
0x2a7ff3d4be3124988fc2fcd72ce3ce143f72b610,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,292593.1193
0x2a7ff3d4be3124988fc2fcd72ce3ce143f72b610,Unexpected behaviour due to avg_holding_days,avg_holding_days,145.60893
0x2a7ff3d4be3124988fc2fcd72ce3ce143f72b610,Unexpected behaviour due to num_deposits,num_deposits,278.0
0x2e7306b6d8b5bc765c3b2c52123e274faf031f8d,Unexpected behaviour due to min_holding_days,min_holding_days,0.000486111
0x2e7306b6d8b5bc765c3b2c52123e274faf031f8d,Unexpected behaviour due to max_holding_days,max_holding_days,1139.5915
0x2e7306b6d8b5bc765c3b2c52123e274faf031f8d,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,494350.6742
0x2e7306b6d8b5bc765c3b2c52123e274faf031f8d,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,72743.40748
0x2e7306b6d8b5bc765c3b2c52123e274faf031f8d,Unexpected behaviour due to avg_holding_days,avg_holding_days,572.05347
